module_name,transformer_layer,module_type,feature_dim,k,minimum,median,mean,maximum,q90,q95,q98,q99,q99_5,maximum_over_median,existing_topk_boundary,existing_topk_concentration,count_ge_1_2x_median,fraction_ge_1_2x_median,count_ge_1_5x_median,fraction_ge_1_5x_median,count_ge_2x_median,fraction_ge_2x_median,count_ge_3x_median,fraction_ge_3x_median,count_ge_4x_median,fraction_ge_4x_median,count_ge_8x_median,fraction_ge_8x_median,count_ge_16x_median,fraction_ge_16x_median
model.layers.17.mlp.down_proj,17,mlp.down_proj,5120,80,0.944620668888092,1.9372533559799194,1.9583816528320312,20.91163444519043,2.056300163269043,2.113907814025879,2.2063369750976562,2.3056678771972656,2.395411252975464,10.794475787402993,2.2351129055023193,0.021268509328365326,44,0.00859375,5,0.0009765625,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.17.self_attn.o_proj,17,self_attn.o_proj,5120,80,0.3774183392524719,1.2125420570373535,1.218782901763916,15.633156776428223,1.3021693229675293,1.33403480052948,1.384360909461975,1.501110315322876,1.7857720851898193,12.892877971280651,1.407822847366333,0.024556497111916542,63,0.0123046875,25,0.0048828125,3,0.0005859375,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.18.mlp.down_proj,18,mlp.down_proj,5120,80,1.240925908088684,2.1974666118621826,2.2324483394622803,33.37888717651367,2.370818853378296,2.4707250595092773,2.6261775493621826,2.741701126098633,2.912428379058838,15.189713006937408,2.6732425689697266,0.02339126169681549,97,0.0189453125,9,0.0017578125,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.18.self_attn.o_proj,18,self_attn.o_proj,5120,80,0.6284390091896057,1.2580024003982544,1.2705484628677368,16.0132999420166,1.3492404222488403,1.3881423473358154,1.4523959159851074,1.5116318464279175,1.5772494077682495,12.729148956271596,1.4787877798080444,0.021970383822917938,52,0.01015625,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125,0,0.0
model.layers.19.mlp.down_proj,19,mlp.down_proj,5120,80,1.1344457864761353,2.30950665473938,2.3311705589294434,25.04808807373047,2.4190995693206787,2.4707396030426025,2.582987070083618,2.6919147968292236,2.831099271774292,10.845644467977106,2.6230239868164062,0.021543962880969048,30,0.005859375,6,0.001171875,3,0.0005859375,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.19.self_attn.o_proj,19,self_attn.o_proj,5120,80,0.4731862246990204,1.1950929164886475,1.2258243560791016,20.55708122253418,1.3581874370574951,1.4396424293518066,1.5633553266525269,1.7391153573989868,1.9710973501205444,17.201240957007595,1.6258635520935059,0.027972986921668053,266,0.051953125,46,0.008984375,6,0.001171875,2,0.000390625,2,0.000390625,1,0.0001953125,1,0.0001953125
model.layers.2.mlp.down_proj,2,mlp.down_proj,5120,80,0.48206430673599243,1.0631057024002075,1.927647352218628,1679.69140625,1.7487448453903198,2.1905314922332764,3.6090188026428223,5.864524841308594,15.40269947052002,1579.9853226802447,4.10819149017334,0.40708601474761963,1583,0.3091796875,743,0.1451171875,285,0.0556640625,122,0.023828125,74,0.014453125,36,0.00703125,26,0.005078125
model.layers.2.self_attn.o_proj,2,self_attn.o_proj,5120,80,0.19617505371570587,0.3106479048728943,0.3300618529319763,5.382355213165283,0.382132887840271,0.46659964323043823,0.5872445106506348,0.6355653405189514,0.7041247487068176,17.326224090799986,0.6036122441291809,0.03601100668311119,576,0.1125,258,0.050390625,62,0.012109375,8,0.0015625,1,0.0001953125,1,0.0001953125,1,0.0001953125
model.layers.20.mlp.down_proj,20,mlp.down_proj,5120,80,1.5940741300582886,2.5281596183776855,2.594569444656372,37.38753890991211,2.7222394943237305,2.8411405086517334,3.0800909996032715,3.452911853790283,4.470278263092041,14.788440823963327,3.2124502658843994,0.03208285942673683,113,0.0220703125,37,0.0072265625,20,0.00390625,11,0.0021484375,5,0.0009765625,2,0.000390625,0,0.0
model.layers.20.self_attn.o_proj,20,self_attn.o_proj,5120,80,0.5665130019187927,1.1777827739715576,1.2026736736297607,24.297142028808594,1.3083218336105347,1.3627166748046875,1.4458954334259033,1.5517555475234985,1.808612585067749,20.629561380726518,1.4747754335403442,0.02887965925037861,144,0.028125,32,0.00625,9,0.0017578125,3,0.0005859375,2,0.000390625,2,0.000390625,1,0.0001953125
model.layers.21.mlp.down_proj,21,mlp.down_proj,5120,80,1.6676995754241943,2.6722910404205322,2.695047616958618,17.745410919189453,2.8364169597625732,2.9145607948303223,3.0334837436676025,3.113755464553833,3.195779323577881,6.640523300335168,3.067521572113037,0.019948869943618774,23,0.0044921875,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0,0,0.0
model.layers.21.self_attn.o_proj,21,self_attn.o_proj,5120,80,0.7633259296417236,1.1884020566940308,1.2097092866897583,15.637103080749512,1.3252776861190796,1.3844196796417236,1.4598544836044312,1.526726484298706,1.6239254474639893,13.158091567301522,1.4901816844940186,0.02402431331574917,153,0.0298828125,11,0.0021484375,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.22.mlp.down_proj,22,mlp.down_proj,5120,80,2.2796096801757812,2.9822285175323486,3.027700424194336,23.913667678833008,3.2410097122192383,3.3560495376586914,3.5158851146698,3.627361536026001,3.7856149673461914,8.018724097850296,3.5654327869415283,0.021237775683403015,72,0.0140625,3,0.0005859375,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.22.self_attn.o_proj,22,self_attn.o_proj,5120,80,0.9616901874542236,1.478668451309204,1.5155802965164185,14.029391288757324,1.674188494682312,1.821478247642517,2.02951979637146,2.1793203353881836,2.391521453857422,9.487854614288812,2.086238145828247,0.026656007394194603,305,0.0595703125,43,0.0083984375,8,0.0015625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.23.mlp.down_proj,23,mlp.down_proj,5120,80,2.843571186065674,3.174264669418335,3.2213540077209473,27.428802490234375,3.336930513381958,3.519620656967163,3.8224713802337646,3.9982354640960693,4.291372299194336,8.640994166141962,3.8989179134368896,0.022976988926529884,108,0.02109375,16,0.003125,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.23.self_attn.o_proj,23,self_attn.o_proj,5120,80,0.7381116151809692,1.2449231147766113,1.265529990196228,14.242148399353027,1.3641910552978516,1.424635887145996,1.5336626768112183,1.6570229530334473,1.7982103824615479,11.440183116777163,1.5677639245986938,0.02457415498793125,140,0.02734375,20,0.00390625,3,0.0005859375,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.24.mlp.down_proj,24,mlp.down_proj,5120,80,1.540893316268921,3.377270221710205,3.3922290802001953,27.546451568603516,3.5050268173217773,3.555276393890381,3.65744686126709,3.7729523181915283,3.965151071548462,8.156425088974478,3.698890209197998,0.020356955006718636,18,0.003515625,3,0.0005859375,2,0.000390625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0
model.layers.24.self_attn.o_proj,24,self_attn.o_proj,5120,80,0.8581818342208862,1.6050589084625244,1.6598255634307861,60.59250259399414,1.8145488500595093,1.9028586149215698,2.129714250564575,2.4450924396514893,2.763401508331299,37.750952488114784,2.248394012451172,0.036387957632541656,231,0.0451171875,57,0.0111328125,12,0.00234375,4,0.00078125,3,0.0005859375,2,0.000390625,2,0.000390625
